BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
C.H.O.I.C.E. Ltd At Elliot House,Caring Premises,Elliot House,Reading Road North,FLEET
Cafe 12,Restaurant/Cafe/Canteen,143-145 Oxford Road,Reading,
Cafe 46,Restaurant/Cafe/Canteen,Chaddisbrook House,Reading Road,Yateley
Cafe Alive at Grange United Reform Church,Restaurant/Cafe/Canteen,Circuit Lane,Reading,
Cafe Le Raj,Restaurant/Cafe/Canteen,17 Reading Road,Henley-On-Thames,Oxon
Cafe Local,Restaurant/Cafe/Canteen,Platforms 8 & 9 Reading Railway Station,Reading,
Cafe Local,Restaurant/Cafe/Canteen,Royal Berkshire Hospital,London Road,Reading
Cafe Local at Platform 7  Reading Rail Station,Takeaway/sandwich shop,Station Approach,Reading,
Cafe Ritazza at Platform 10/11 Reading Rail Station,Restaurant/Cafe/Canteen,Station Approach,Reading,
Cafe Yolk,Restaurant/Cafe/Canteen,14 Wokingham Road,Reading,
Cafe Yolk,Restaurant/Cafe/Canteen,44 Erleigh Road,Reading,
Cafe2U (Reading West),Mobile caterer,Unit D Fronds Park Frouds Lane,Aldermaston,Reading
Caffe Nero,Restaurant/Cafe/Canteen,4-5 Broad Street,Reading,
Caffe Nero,Restaurant/Cafe/Canteen,75 Broad Street,Reading,
Caffe Nero at Apex Plaza,Restaurant/Cafe/Canteen,Forbury Road,Reading,
Caffe Nero at The Oracle,Restaurant/Cafe/Canteen,Bridge Street,Reading,
Cagneys Bar & Grill Ltd,Restaurant/Cafe/Canteen,Rydding Lane,West Bromwich,
Cake & Cream,Retailers - other,11-13 St Peters Road,Reading,
Cake and Beyond,Restaurant/Cafe/Canteen,2a Dunstall Close Tilehurst,Reading,
Cake Box,Mobile caterer,Broad Street Mall Broad Street,Reading,
Cake Box,Retailers - other,278 Oxford Road,Reading,
CakeCo,Takeaway/sandwich shop,1-9 Kings Road,Reading,
Cakes & More,Other catering premises,101 Wokingham Road,Reading,
Calcot Cottage,Caring Premises,42 Bath Road,Calcot,Reading
Calcot Junior School,School/college/university,Calcot Junior School Curtis Road,Calcot,Reading
Calcot Park Golf Club Ltd,Pub/bar/nightclub,Calcot Park Golf Club Calcot Park,Calcot,Reading
Calcutta Junction Kitchen,Other catering premises,Claydon Court Caversham,Reading,
Calebs Coffee At Calthorpe,Other catering premises,Caleb's Coffee,Calthorpe Park,Reading Road North
Calico Bar & Eatery at Hotel 1843,Pub/bar/nightclub,33 London Street,Reading,
Camp Beaumont at Elstree School,Caring Premises,Elstree School Woolhampton Hill,Upper Woolhampton,Reading
Campbell Place,Caring Premises,Reading Road North,Fleet,Hampshire
Camper Cafe,Mobile caterer,Myrtle Cottage Hardwick Road,Whitchurch On Thames,Reading
Capeesh,Mobile caterer,Pitch Outside 38/39 Broad Street,Reading,
Caprinos Pizza,Other catering premises,93 Wokingham Road,Reading,
Card Factory,Retailers - other,46 Broad Street,Reading,
Card Factory at Broad Street Mall,Retailers - other,Broad Street,Reading,
Carls Fish & Chips LIMITED,Takeaway/sandwich shop,17 Ridding Lane,Wednesbury,
Carluccios / Gourmet Burger,Restaurant/Cafe/Canteen,The Forbury,Reading,
Carmel's Ice Creams,Mobile caterer,Unit 9 Abbots Farm Sulhamstead Abbots Sulhamstead Road,Sulhamstead,Reading
Cater Link At Waltham St Lawrence Primary School,School/college/university,Waltham St Lawrence Primary School,School Road,Waltham St Lawrence
